일,월,화,수,목,금,토
,언양식납작떡갈비 (1.2.5.6.10.12.13.15.16),초코우유 (2),갈떡꼬치,그린음료 (12),,
,배추김치 (9),크리스피핫도그 (1.2.5.6.10.13.16),배추김치 (9),,,
,샤인머스캣맛 음료,,매실음료,,,
,팝콘 (2.5),,,,,
,,,,,,
19,20,21,22,23,24,25
,,,,,,
,조식,조식,조식,조식,조식,
,,,,,,
,찹쌀밥,찹쌀밥,찹쌀밥,하이라이스 (1.2.5.6.10.12.16),스테프핫도그(불고기맛) (2.5.6.10.15.16),
,북어계란국 (1.8.9.18),생크림빵 (1.2.5.6),쇠고기미역국 (5.6.8.9.16.18),치킨텐더또띠아 (1.2.5.6.15.18),양송이스프 (5.6.13.16),
,오리불고기 (5.6.13),오징어무국 (5.17),메추리알장조림 (1.5.6.13),배추김치 (9),"찐만두(김치,고기) (1.5.6.10.16.18)",
,두부조림 (5.6.13),동그랑땡 (1.2.5.6.10.12.15.16),정통함박스테이크 (1.2.5.6.10.12.15.16),바나나우유 (2),배추김치 (9),
,배추김치 (9),돼지갈비찜 (5.6.10.13),배추김치 (9),크림카스테라머핀 (1.2.5.6),파인애플,
,포도맛음료 (13),배추김치 (9),엔요 (2),마카다미아쿠키 (1.2.5.6),,
,오레오스모어쿠키 (1.2.4.5.6),초코우유 (2),쌀겨웨하스 (1.2.5.6),,중식,
,,,,중식,,
,중식,중식,,,칼국수 (2.5.6.8.9.15.18),
,,,,주꾸미덮밥,콘샐러드 (1.5.6.13),
,참치마요주먹밥 (1.2.5.6.9.13.16.18),크림스파게티 (1.2.5.6.10.13.16),,사각어묵국 (1.5.6.9.13),치킨무,
,잔치국수1 (5.6.8.9.18),오미자피클,,콘치즈마요계란찜 (1.2.5.13),프링글반마리통닭 (1.5.6.13.15),
,떡갈비 (1.2.5.6.10.12.13.15.16),치킨텐더샐러드 (1.5.6.15.18),,배추김치 (9),배추김치 (9),
,오이무침 (5.6.13),배추김치 (9),,애플파이 (1.2.5.6),환타음료,
,배추김치 (9),마늘빵 (2.5.6),,에너지음료 (13),,
,리치맛주스,나랑드사이다,,,석식,
,전병과자 (1.2.5.6),,,석식,,
,,석식,,,나가사끼짬뽕(한그릇) (5.6.9.13.16.17.18),
,석식,,,보리밥,단무지,
,,새우볶음밥 (1.5.6.9.13.18),,쇠고기미역국 (5.6.8.9.16.18),꿔바로우 (1.5.6.10),
,잡채덮밥&자장소스 (2.5.6.10.13),양송이스프 (5.6.13.16),,치즈함박스테이크 (1.2.5.6.10.12.13.15.16.18),배추김치 (9),
,달걀국 (1.13),칠리베이컨샐러드 (1.6.10.12.13),,배추김치 (9),매실음료,
,꿔바로우 (1.5.6.10.12),돼지갈비후라이드 (10),,메이플피칸파이 (1.2.5.6.14),,
,배추김치 (9),깍두기 (9),,푸실리샐러드 (1.2.5.6.12.13),,
,레모나젤리,,,과채음료 (12),,
,망고맛음료 (2),,,,,
,,,,,,
26,27,28,29,30,31,
,,,,,,
,조식,조식,조식,조식,조식,
,,,,,,
,찹쌀밥,찹쌀밥,찹쌀밥,찹쌀밥,찹쌀밥,
,사각어묵국 (1.5.6.9.13),감자고추장찌개 (5.6.8.9.10.18),돈육김치찌개 (5.9.10.13.15),만두국 (1.5.6.10.16.18),생크림딸기롤케이크 (1.2.5.6),
,제육볶음 (5.6.10.13),춘천식닭갈비 (2.5.6.12.13.15.16),달걀찜 (1.9),돼지불고기 (10),북어채감자국 (8.9.18),
,오징어문어핫바 (1.5.6.17),청파래집게맛살튀김 (1.5.6.8),꿔바로우 (1.5.6.10),황금알까츠&청양마요소스 (1.5.6.10),꽈리고추멸치볶음 (5.6.13),
,배추김치 (9),깍두기 (9),깍두기 (9),배추김치 (9),,
,떠먹는요거트 (2),바나나우유 (2),딸기우유 (2),맛김,,
,,,,매실음료,,
,중식,중식,중식,,,
,,,,중식,,
,현미밥,현미밥,현미밥,,,
,쫄면 (5.6.13),순두부달걀국 (1.5.13),뼈감자탕 (5.6.9.10),현미밥,,
,시래기된장국 (5.6.8.9.16.18),돼지갈비찜 (5.6.10.13),참나물참깨소스무침 (1.5.6),김치콩나물국 (5.8.9.18),,
,보쌈(상추&쌈장) (5.6.10.13),온두부&김치볶음 (5.9.13),치즈블럭돈가츠 (1.2.5.6.10.12.13.16.18),치킨텐더또띠아 (1.2.5.6.15.18),,
,배추김치 (9),청포도사과음료 (13),배추김치 (9),허니버터아몬드,,
,엔요 (2),파래김자반 (5),메이플피칸파이 (1.2.5.6.14),연탄불고기 (5.6.10.12.13),,
,마카다미아쿠키 (1.2.5.6),,곤약젤리(사과),맛김,,
,,석식,,딸기우유 (2),,
,석식,,석식,,,
,,보리밥,,석식,,
,보리밥,햄모듬찌개 (1.2.5.6.8.9.10.12.15.16.18),작은밥&김구이,,,
,김치찌개(당면) (5.9.10.13),달걀찜 (1.9),칼만두국 (1.5.6.8.9.10.15.16.18),닭갈비덮밥 (2.5.6.13.15),,
,훈제오리,안동찜닭 (6.12.13.15),배추김치 (9),맑은콩나물국 (5.8.9.18),,
,고구마맛탕 (5.13),맛김,사과음료 (13),에그랑땡 (1.2.5.6.10.12.15.16.18),,
,맛김,쿨피스 (11.13),반미샌드위치 (1.2.5.6.16),배추김치 (9),,
,,,,핫도그,,
,,,,음료,,
,,,,,,
