일,월,화,수,목,금,토
,근대된장국 (5.6),도토리묵국 (5.6.9.16),티라미수케이크 (1.2.5.6),,수육 (5.6.10.13),
,쫄면야채무침 (5.6.13),치커리유자샐러드 (5.6.13),어묵무국 (1.5.6.8.9.18),,콩나물무침 (5)/단호박시루,
,고치돈/망고주스 (1.2.5.6.10.12.13.16.18),c돼지주꾸미볶음 (5.6.10.13),까르보나라떡볶이 (2.5.6.10.13.16),,마파두부 (5.6.10.12.13.18),
,배추김치 (9),해물파전 (1.5.6.9.17),배추김치 (9),,깍두기 (9),
,,깍두기 (9),오라떼,,리치캐모마일주스,
,석식,딸기우유 (2),,,수제쌈장 (5.6),
,,,석식,,,
,고기볶음밥 (5.6.9.10.13),석식,,,석식,
,유부장국 (5.6.8.9.18),,현미밥,,,
,마카로니샐러드 (1.2.5.6.8.10.13.15.16.18),현미밥,아욱된장국 (5.6),,현미밥,
,칼바사핫도그 (1.2.5.6.10.16),인절미크로플 (1.2.5.6),고추장돼지불고기 (5.6.10.13),,알배기배추된장국 (5.6),
,배추김치 (9),사골떡국 (1.5.6.16),오꼬노미야끼 (1.5.6.10.13.17),,청경채나물 (5.6.13),
,엔요요구르트 (2),오이부추무침 (5.6.13),배추김치 (9),,김말이강정 (1.5.6.12.13.16),
,,닭볶음탕 (5.6.15),파인애플주스 (13),,탄두리치킨 (2.5.6.12.13.15.18),
,,배추김치 (9),배,,배추김치 (9),
,,머스캣코코,,,고칼슘자몽주스 (13),
,,,,,,
23,24,25,26,27,28,29
,,,,,,
,조식,조식,조식,조식,조식,
,,,,,,
,현미밥,현미밥,현미밥,현미밥,현미밥,
,근대된장국 (5.6),감자수제비국 (5.6),들깨무챗국,알배기배추된장국 (5.6),감자모닝빵샌드위치 (1.2.5.6),
,간장불고기 (5.6.10.13),부채교 (1.2.5.6.9.10),데리야끼닭볶음 (5.6.13.15),돈육메추리알장조림 (1.5.6.10.13),무시래기국 (5.6.16),
,견과멸치유자볶음 (4.5.13.14),지파이 (1.5.6.13.15.18),메밀김치전병 (2.3.5.6.16.18),오징어김치전 (1.5.6),돈강정 (2.5.6.10.12.16.18),
,배추김치 (9),배추김치 (9),배추김치 (9),배추김치 (9),배추김치 (9),
,첵스+우유 (2.5.6),하트파이 (1.2.5.6),자몽주스 (13),배,납작복숭아주스 (11.13),
,,애플망고주스 (13),피넛쿠키 (1.2.4.5.6),요거톡 (2),,
,중식,,,,중식,
,,중식,중식,중식,,
,현미밥,,,,흑미밥,
,몽글순두부짬뽕국 (1.5.6.9.10.13.17.18),현미밥,중화제육덮밥*계란후라이 (1.5.6.10.12.13),오색현미밥,돼지고기고추장찌개 (5.6.10),
,옥수수샐러드 (1.5.6.13),닭곰탕/당면 (15),유부장국 (5.6.8.9.18),한우소머리곰탕 (5.6.16),c명엽채아몬드볶음 (5.6.13),
,언양불고기/파채무침 (2.5.6.13.16),매콤알감자조림 (5.6.13),참나물상추샐러드/오리엔탈 (5.6.13),근대장무침 (5.6),봉추찜닭 (5.6.10.12.13.15.16),
,배추김치 (9),도라지오이생채 (5.6),양념어묵꼬치 (1.5.6.12.13),맛밤떡갈비/부추무침 (2.5.6.10.13.16),청포묵김가루무침 (1.5.6),
,솔티카라멜마카롱 (1.2.6),옥수수함박 (1.2.5.6.10.12.15.16),배추김치 (9),깍두기 (9),배추김치 (9),
,청포도주스 (2.13),배추김치 (9),아이스모나카 (2.4.5.6),샤인머스캣주스 (13),요구얌 (2),
,,자몽주스 (13),,파스타치오쿠키 (1.2.5.6.13),,
,석식,,석식,,석식,
,,석식,,석식,,
,김밥볶음밥 (1.2.5.6.8.10.15.16),,현미밥,,현미밥,
,팽이장국 (5.6.8.9.18),현미밥,감자계란국 (1.5.6),후리카케주먹밥 (1.2.5.6.9.13.16.18),롱핫도그 (1.2.5.6.10.12.13.15.16),
,두부곤약무침 (5.6.13),마들렌 (1.2.5.6),청경채오이무침 (5.6.13),돈코츠라멘 (1.2.5.6.10.12.13.15.16),등뼈감자탕 (5.6.10.13),
,유자데리야끼닭구이 (5.6.13.15),부대찌개*면사리 (1.2.5.6.9.10.15.16),돈육자장불고기 (1.2.5.6.10.13),숯불닭꼬치 (5.6.15),감자크로켓 (1.5.6),
,배추김치 (9),콘치즈바싹불고기 (1.2.5.6.10.12.13.15.16),짜조 (1.5.6.9.13.15.16),배추김치 (9),배추김치 (9),
,미니과즙워터 (13),배추김치 (9),배추김치 (9),사과주스 (13),마카다미아초코우유 (2),
,,엔요요구르트 (2),레몬에너지음료,초코칩트위스트 (1.2.5.6),,
,,,,,,
30,,,,,,
